Index,True Label,Mean Estimate,Mode Estimate,Standard Deviation,HPDI Lower,HPDI Upper
3484,"0.0,0.0,0.0,0.0,0.33099,0.0","0.0,0.0,0.0,0.0,0.357314778522252,0.0","0.0,0.0,0.0,0.0,0.3166344025002027,0.0","0.06853713238178716,0.08496770889537682,0.07401534418475927,0.11608315065801524,0.11279058154519594,0.06402935242350415","2.5055483517301087e-22,8.101123302011444e-20,1.1295576425933082e-15,1.6187735496014584e-27,0.25970889001782976,5.869192561994116e-26","0.1368586117668993,0.14410747411317762,0.13628113700481412,0.0792961415241778,0.6943014285139576,0.10932797072586678"
830,"0.37797,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.31697942313999466,0.0,0.0,0.31401175174468765","0.3932466149482522,0.0,0.0,0.0,0.0,0.0","0.15578502066219618,0.055836795281732764,0.3628736680395231,0.10579856334414676,0.12390606577528925,0.3697409160266489","0.03244319709548329,1.1113750550775895e-14,6.895489077265402e-18,4.737907461427641e-16,3.751152740473801e-16,2.531746656516228e-19","0.5345695550076248,0.16822117416073512,0.7999970742596504,0.22687257352195722,0.41241122641310524,0.7999980280167733"
934,"0.0,0.0,0.0,0.0,0.30384,0.0","0.0,0.0,0.0,0.0,0.4043620727736368,0.0","0.0,0.0,0.0,0.0,0.31229202118835,0.0","0.08394694907434808,0.13063543922621795,0.05846473492094884,0.23333011575619472,0.17124378859535433,0.04792347831327166","5.800490252318788e-21,8.19738839614591e-11,7.874242085485631e-21,7.160822299238157e-14,0.2669010507508169,7.985921223806768e-17","0.22003083179283048,0.41228313897420643,0.16247234726414136,0.7231391023488549,0.7999995598642222,0.11691037800973081"
2818,"0.0,0.0,0.0,0.63044,0.0,0.0","0.0,0.0,0.0,0.7314652502716371,0.0,0.0","0.0,0.0,0.0,0.7969004537850258,0.0,0.0","0.07890810311263699,0.08969838934470166,0.05206147683985762,0.06700463830321875,0.16356888323443614,0.05993972906199742","2.149040373222545e-27,2.0530951205100215e-24,1.0244205369900784e-25,0.6230828837393453,2.6455393995346802e-27,8.25962135743621e-27","0.2492924880172147,0.2528077791236844,0.15732867225253463,0.8,0.4910986679678687,0.18789202671612895"
2881,"0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0","0.021031523302279462,0.0244048754868377,0.031457631218931824,0.027832052836603855,0.022355394854456728,0.018611102039857254","1.817005454864854e-27,1.7372418024488872e-22,8.985605038935446e-24,9.194177979171516e-25,8.00058724266951e-18,1.1994877578265798e-22","0.06239668683603397,0.07375669471716283,0.09618873316830746,0.08378289276742393,0.06248125625589166,0.05335698200079036"
1350,"0.73384,0.0,0.0,0.0,0.0,0.0","0.7813612279716586,0.0,0.0,0.0,0.0,0.0","0.7970536004365592,0.0,0.0,0.0,0.0,0.0","0.03092625632039523,0.07362312281284747,0.1292187701299428,0.17182056416280092,0.1382575335975208,0.1030329525007461","0.7143095439327335,3.7165180476674717e-29,2.954039842384758e-17,3.81932387843586e-21,4.823939066714062e-19,3.76033823789756e-27","0.8,0.2039555960857592,0.2866101205927453,0.46460980094582327,0.3976259536787372,0.13757785907885095"
3833,"0.0,0.0,0.52497,0.0,0.0,0.0","0.0,0.0,0.483209511260527,0.0,0.0,0.0","0.0,0.0,0.4764247943593779,0.0,0.0,0.0","0.02090080277667091,0.02757473731330112,0.02891238056850656,0.06324595407869396,0.08961520166362291,0.04542169916579878","1.2609468790192865e-25,2.2462870350646445e-17,0.4271425833380989,3.244150787109324e-23,3.3678126110390132e-21,6.596773678122353e-22","0.05338446103094905,0.07142791944207647,0.540334067363796,0.17357448529841435,0.23461321938674531,0.13419286873335415"
140,"0.0,0.0,0.0,0.0,0.0,0.78277","0.0,0.0,0.0,0.0,0.0,0.7898809431567463","0.0,0.0,0.0,0.0,0.0,0.7986297879940418","0.04807209587518165,0.039969426764182116,0.03379451062273388,0.09377981083533479,0.07346139349782098,0.019350848678106488","2.1836567210639357e-27,2.933008435828139e-35,3.647090601907292e-54,2.5766384682094736e-31,2.4187929887332975e-28,0.7446789054184729","0.1236285142685095,0.10363597465762119,0.07929692207431677,0.2343712885524219,0.169766291081456,0.8"
1717,"0.0,0.55256,0.0,0.0,0.0,0.0","0.0,0.603631309551476,0.0,0.0,0.0,0.0","0.0,0.7964306898648483,0.0,0.0,0.0,0.0","0.05575586637811231,0.08755140882718214,0.0758616880615349,0.28188164350577416,0.2930316013274863,0.05423351202338018","5.38426100679329e-16,0.5155447344143086,1.963160207070444e-15,2.4334191953497524e-19,9.65289866639546e-16,3.6141907930372753e-16","0.16259047795613613,0.7999988143047615,0.1808655860567293,0.7985043957515119,0.7995710298496544,0.15305611559607865"
3825,"0.4252,0.0,0.0,0.0,0.0,0.0","0.3627311340825527,0.0,0.0,0.0,0.0,0.0","0.40569665027396384,0.0,0.0,0.0,0.0,0.0","0.13276052847036576,0.043285540675928755,0.34400327159090816,0.19018571832194303,0.18525756387192585,0.3530638681507996","0.10130281956994516,1.471387340810812e-22,4.730953877618664e-22,2.0545975083021565e-25,1.1414254997939527e-23,1.0587107914288077e-30","0.5907200545014223,0.12455225439905489,0.7999999319840935,0.7503553075321845,0.675819842342356,0.7999982370553878"
3048,"0.0,0.52133,0.0,0.0,0.0,0.0","0.0,0.6750039280433447,0.0,0.38245334710367584,0.4950238809796089,0.0","0.0,0.7951261750449032,0.0,0.0,0.7920000000000023,0.0","0.14688712928419306,0.13944660103833365,0.07260825883092752,0.3460469123055514,0.3467120305580011,0.06194512041697505","1.2009667275461184e-14,0.45630324283921536,7.121513754248137e-17,8.842714542622623e-19,4.4672463751961055e-06,6.467867870993554e-25","0.4350916975983557,0.7999999999927765,0.19788216311397547,0.7999871604204257,0.7999999999999725,0.16910039605427896"
1973,"0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.352818993126248,0.0,0.47661694778615754,0.4237269645328763","0.0,0.0,0.0,0.0,0.792,0.792","0.2702901255482762,0.34071926354398074,0.3817807512334874,0.34753811651538974,0.3676976674554528,0.34242360262720417","3.718080904417299e-66,4.501906801101025e-44,3.3394015253295646e-13,1.207452437373461e-47,1.408343591531534e-14,9.457068077960381e-09","0.799736948942576,0.7999958905641105,0.8,0.7999993570737352,0.8,0.8"
2564,"0.0,0.0,0.59144,0.0,0.0,0.0","0.0,0.0,0.5867368893202367,0.0,0.0,0.0","0.0,0.0,0.5905546701669317,0.0,0.0,0.0","0.1191968544615715,0.08626019823644382,0.04430319654874172,0.21257774928045128,0.28343454461076706,0.08521232367035327","7.220295707677709e-32,2.6396123287756753e-45,0.5050337983897735,3.896325825661417e-41,2.5350934121865686e-36,8.381517443113925e-24","0.34810633220112347,0.26245600404070396,0.6731749360528686,0.7856240324330372,0.7999357458633982,0.2686206657254925"
616,"0.34081,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.3104783317120901,0.0,0.0,0.3059636100159692","0.3599473258601649,0.0,0.0,0.0,0.0,0.0","0.18454851221574473,0.09040362749181338,0.3503599408923877,0.1164245386426373,0.16717482981298415,0.36538522553243996","0.0005419252730948096,3.2356556483705624e-09,2.7150712387322046e-38,5.705547462406869e-13,6.522668685319405e-17,4.1565031809642687e-17","0.6440273110744278,0.3083194467752307,0.7999851980756456,0.24231212593617216,0.5689913283463857,0.7999999462954545"
2356,"0.0,0.0,0.774,0.0,0.0,0.0","0.0,0.0,0.7829975716374666,0.0,0.0,0.0","0.0,0.0,0.7981364631825353,0.0,0.0,0.0","0.047236857083550784,0.05212046298331151,0.023620294585967393,0.13175102494193838,0.26319136719881364,0.1012044884945405","1.3016767724368973e-16,2.2959820733843555e-28,0.7315023994298376,4.319605513301301e-28,1.8264421645582718e-23,6.874963230393658e-15","0.12699771864050338,0.13931797214573022,0.8,0.34328559737941444,0.7911066057631965,0.3079178890822367"
1599,"0.0,0.0,0.67743,0.0,0.0,0.0","0.0,0.0,0.6671728573806135,0.0,0.0,0.0","0.0,0.0,0.6534086120289526,0.0,0.0,0.0","0.058435374556942546,0.06267310594705272,0.04478262675329122,0.09980642940544525,0.26026874105902026,0.09095213326764473","1.315536935794599e-27,3.8435222241553e-26,0.6023215044256387,2.160523398517184e-15,1.4806248425687405e-23,7.684602990907229e-16","0.17815120994963607,0.15255640690848046,0.7874244900510607,0.1909278573265436,0.797950022991423,0.27384047969323144"
2237,"0.0,0.0,0.0,0.0,0.0,0.40613","0.0,0.0,0.0,0.0,0.0,0.40782657981505394","0.0,0.0,0.0,0.0,0.0,0.4017993100641947","0.04719826917971781,0.054029062403263134,0.042089764176061126,0.029433099321520113,0.025323129684277225,0.03576633865795591","1.9191378297700186e-17,2.3554191800553497e-18,1.706533834437967e-24,6.618948634008334e-27,4.8761955550926567e-17,0.34172796387543536","0.13387883890508553,0.1527933293347839,0.11812193472372144,0.0740531235807541,0.0652842648412497,0.486563855897391"
3040,"0.0,0.72904,0.0,0.0,0.0,0.0","0.0,0.680191179241058,0.0,0.0,0.0,0.0","0.0,0.6955764232680486,0.0,0.0,0.0,0.0","0.06262531333913803,0.03269567527398827,0.09407254604934406,0.07972987866533054,0.09636640817337673,0.0553366343646131","3.0085535345160377e-22,0.609349307308507,6.500944939205941e-16,5.779598517807449e-20,7.820758335599547e-19,3.16820989727148e-21","0.1839648147334327,0.7416075055818809,0.2775987455058054,0.20912256219818712,0.2080671984882867,0.16583826621814932"
2966,"0.0,0.0,0.0,0.0,0.34665,0.0","0.0,0.0,0.0,0.0,0.4351830073262086,0.0","0.0,0.0,0.0,0.0,0.36082272909055857,0.0","0.08765666255673449,0.11385363696797986,0.08809415200413505,0.21015157214569968,0.15646607167514012,0.0901359099227354","1.0282131097390042e-22,2.599589633678796e-22,2.1589125051712834e-17,1.2762043131646543e-25,0.2961279841938265,6.555105775804867e-28","0.2623361946649962,0.34204530577644987,0.2334852612536254,0.6368770343194886,0.7999980654972634,0.2424986502949189"
467,"0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0","0.15432866833234307,0.0718346462686963,0.1414435702716285,0.23745808330309645,0.2549723288452428,0.1448366572858273","1.0899457080500664e-17,2.1938263685947804e-13,3.022687202406841e-17,2.5404041298496434e-28,6.414702935438774e-36,7.772742091437512e-26","0.5688713329544798,0.14244433948178487,0.28100821535689685,0.7653277792413397,0.7936424610781478,0.2422649326107149"
3879,"0.42786,0.0,0.0,0.0,0.0,0.0","0.36975323523437886,0.0,0.0,0.0,0.0,0.0","0.41845618479010877,0.0,0.0,0.0,0.0,0.0","0.16839280248002567,0.052705642154304976,0.3485891986261392,0.16862443529394336,0.18785025603548988,0.3454558027069029","0.036165685164908166,1.2221118068544016e-13,2.6218115175413698e-14,1.5604136954370613e-16,7.057646261754981e-26,2.496370555007365e-14","0.6564443050646805,0.1190716620725375,0.7999966944047012,0.4043694055225869,0.6061120090538696,0.7999658340624523"
3588,"0.0,0.0,0.64164,0.0,0.0,0.0","0.0,0.0,0.7182813197912957,0.0,0.4346366172142901,0.0","0.0,0.0,0.792,0.0,0.792,0.0","0.07446257440163707,0.10114467439035635,0.10965303197944587,0.15235993892984132,0.3642575075545402,0.1455077249721763","5.765411366608817e-45,1.0528685326389823e-34,0.5895422713849005,1.1139684061108385e-40,2.9516188529581916e-68,7.260088096997024e-36","0.2148644128122068,0.11340148177247077,0.8,0.2779486805815287,0.7999999999999938,0.46869724418513325"
832,"0.0,0.0,0.0,0.0,0.0,0.59789","0.0,0.0,0.0,0.0,0.0,0.5656936576157077","0.0,0.0,0.0,0.0,0.0,0.571136294678948","0.06186433274571257,0.053771064948396355,0.04779170229898837,0.07394145070947084,0.051887457110895784,0.03760561821566959","4.050655264305374e-26,1.745698039691192e-22,3.87466351928894e-39,5.01868122788611e-24,2.2586955206957325e-21,0.48755880173119676","0.13700101855317934,0.15247919599751714,0.1342069128666053,0.13635330679219215,0.08541238235475614,0.6336151078320728"
386,"0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0","0.02392860341579259,0.03211619836820757,0.03505729863040284,0.0196175614623926,0.024542669491180495,0.013105206470326468","7.022701655918385e-22,2.1198825094705004e-28,2.2588970283098125e-22,4.43985097300401e-25,2.4369266463377047e-16,4.36415382098048e-23","0.0693409656851424,0.09051664580914905,0.1070167536275555,0.04317815845375063,0.06624449712438013,0.035432470528139824"
1946,"0.0,0.0,0.62794,0.0,0.0,0.0","0.0,0.0,0.6318751376011079,0.0,0.0,0.0","0.0,0.0,0.5983774470790093,0.0,0.0,0.0","0.029414671822422862,0.10591954893722955,0.0573588663889046,0.24382091281807766,0.3512212677986287,0.0959606582981461","4.563199980424466e-24,3.626071875483128e-24,0.5302694994679393,4.816603202067285e-29,3.0530282996783827e-25,5.1548496422788326e-20","0.06515827262104983,0.31740984543374495,0.761955450575327,0.7360306158258423,0.799999736872098,0.2894073759217159"
2387,"0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0","0.022072876797069603,0.039985008730304784,0.0325223760259836,0.015877041819753013,0.022396574845032304,0.014283830868431087","3.514385165876553e-19,4.675212284941795e-30,1.5263867994822275e-24,3.4785405940385243e-20,4.233410539595003e-16,2.4736466270727645e-19","0.05931278651679617,0.11130084597579389,0.09607720369391162,0.046185644519585616,0.06538818060170375,0.038542417965139755"
3558,"0.0,0.0,0.0,0.52184,0.0,0.0","0.0,0.0,0.0,0.5752154418663685,0.0,0.0","0.0,0.0,0.0,0.5702738675181478,0.0,0.0","0.08316779103110356,0.07039344823780173,0.057815475369136095,0.04712273938424397,0.08455322432408133,0.04373921879454843","6.813765128292619e-21,2.0491345720614964e-26,1.3601634067118203e-19,0.4976176309069607,7.585937609038214e-21,1.5906048600259476e-17","0.2396995382993744,0.2159169211823321,0.1601531583037025,0.6811623925604704,0.2546655174822496,0.12575192683982303"
3379,"0.0,0.54693,0.0,0.0,0.0,0.0","0.0,0.5401102729228849,0.0,0.0,0.0,0.0","0.0,0.5307394988144799,0.0,0.0,0.0,0.0","0.05379981015278843,0.03082015464440046,0.05627001435488717,0.057436594912104136,0.11031693916433102,0.052351908487679726","3.956855728594416e-25,0.4775615326393811,5.880586543630787e-23,1.8848321462291637e-20,1.0480660797825654e-24,8.679330008121137e-24","0.14855884594797292,0.5930859917153318,0.14703148190920654,0.1147256781311618,0.2562582684605481,0.15627850289913303"
2483,"0.0,0.77931,0.0,0.0,0.0,0.0","0.0,0.7849558952345339,0.0,0.0,0.0,0.0","0.0,0.7979165515038776,0.0,0.0,0.0,0.0","0.0946345077031843,0.02589414535360827,0.10336868283956642,0.10465632436820826,0.1500110100927478,0.07833602826990148","1.1237803042643202e-22,0.7285982630661468,1.1024722217199519e-21,1.5197579729333218e-21,1.173312572553884e-24,9.952462325616826e-19","0.30199802884565263,0.8,0.3118086274268379,0.3120559728630219,0.4465547346181564,0.2270649142772613"
1700,"0.38008,0.0,0.0,0.0,0.0,0.0","0.5964051117883686,0.0,0.0,0.44835288499607495,0.3419246439377418,0.0","0.7926084776487898,0.0,0.0,0.0,0.0,0.0","0.19165615903882544,0.10790580850537915,0.17159853071225228,0.329142837119128,0.2467974679568067,0.15628095012384904","0.3274444868118647,1.1888266664546428e-08,1.1153305904991287e-12,1.1198682253795686e-15,7.94208873049441e-12,4.5243351363080657e-13","0.7999994064542035,0.30863566069597986,0.5131888847717567,0.7998310574039724,0.6454627105669899,0.3670229452665025"
2899,"0.0,0.0,0.0,0.0,0.0,0.70355","0.0,0.0,0.0,0.0,0.0,0.7222171230264984","0.0,0.0,0.0,0.0,0.0,0.7976925338065244","0.1090088834383994,0.06937514738348308,0.0820312983915956,0.04745604340752108,0.05608952674164039,0.0462359519762688","2.6952539840817825e-31,4.5877603205912016e-21,6.716100331305236e-25,4.428065239036611e-26,1.23175200776452e-16,0.6583138615220929","0.32630438260164024,0.20817838134720423,0.27775575562564975,0.1145669351872682,0.1604800000016947,0.7999999520763904"
1351,"0.0,0.49714,0.0,0.0,0.0,0.0","0.0,0.5055440575287896,0.0,0.0,0.0,0.0","0.0,0.4996688637678664,0.0,0.0,0.0,0.0","0.060697391517138585,0.06150907129011113,0.06505172226283921,0.18377263529862253,0.19146119174524867,0.045593922811344646","1.3571419091059877e-14,0.399301628521298,9.44006664201424e-25,6.94271596472946e-23,6.006003313133552e-31,7.82020322070165e-22","0.16805154598515204,0.6554355627255383,0.16370087677859269,0.6457040735382217,0.6681688636454767,0.13501109008654857"
3750,"0.0,0.0,0.38192,0.0,0.0,0.0","0.0,0.0,0.4157159546028581,0.0,0.0,0.0","0.0,0.0,0.3950430955999745,0.0,0.0,0.0","0.03886938462582084,0.04916423356020046,0.03274382699596939,0.05179138502208112,0.10555756644407419,0.047885243590966554","1.4860515203626353e-16,1.1885066997178533e-20,0.3586337499790522,5.727370481123915e-17,1.6009007413328488e-15,2.3645054602167634e-19","0.08776436581485855,0.11621129917647038,0.484882052468361,0.11071799866986608,0.29480050455785617,0.14220784907288164"
1244,"0.0,0.0,0.0,0.0,0.0,0.56805","0.0,0.0,0.0,0.0,0.0,0.5275650120061903","0.0,0.0,0.0,0.0,0.0,0.536486041810589","0.043810698953777885,0.027893214301161675,0.02888357056648502,0.05925834953773794,0.04957942060574,0.0420832425394685","1.2210959264551441e-41,2.3230935247588254e-37,5.098836905792007e-38,1.034414980384149e-30,1.7956843314970703e-45,0.4453370610869656","0.11618344223898043,0.05678687433586929,0.07799684650399305,0.1403927936087922,0.11661471815429084,0.6093518915574067"
450,"0.0,0.0,0.64402,0.0,0.0,0.0","0.0,0.0,0.6312072092732208,0.0,0.0,0.0","0.0,0.0,0.6196358558930222,0.0,0.0,0.0","0.0243103969577524,0.06562748765504486,0.047082410034997066,0.20494546068657007,0.1616008132695555,0.08838382571971672","1.033158522128485e-23,1.86954686325297e-28,0.5595459702516068,9.402177044601591e-29,3.532989879861141e-32,4.39700111292805e-22","0.055472667405231574,0.09729508630524543,0.7525550988985364,0.7984093753945974,0.40684220932959897,0.24449495987558367"
3381,"0.0,0.0,0.66391,0.0,0.0,0.0","0.0,0.0,0.7242130044451421,0.0,0.3169948011084912,0.0","0.0,0.0,0.7975164784945049,0.0,0.0,0.0","0.08535264414110463,0.048229967732713805,0.06096326746437096,0.19013413185009695,0.34640821731107047,0.1414858122905779","2.7562884145127023e-28,1.498564443436967e-23,0.6352809495412942,5.610559499755762e-34,6.2700023501681e-29,8.40372451623272e-33","0.2574588614122156,0.11255511580909422,0.8,0.5516507545873864,0.7999996520413014,0.4178864797496779"
1699,"0.0,0.0,0.0,0.0,0.46634,0.0","0.0,0.0,0.0,0.0,0.5044496694195556,0.0","0.0,0.0,0.0,0.0,0.48648714696962925,0.0","0.09283264088646187,0.0466829632962296,0.04990245750294319,0.03987155169089065,0.0771216699786962,0.0282442016431965","1.0000835729021396e-28,3.0890667179581245e-34,3.041570509139052e-30,1.1776808533677589e-31,0.3864249482058688,5.379630015668764e-25","0.31102489313014076,0.12874734800875315,0.13325891283535848,0.10851828263837063,0.6949210700744074,0.07991088246788086"
23,"0.0,0.0,0.0,0.0,0.41962,0.0","0.0,0.0,0.0,0.0,0.4453078993782722,0.0","0.0,0.0,0.0,0.0,0.4433240240805026,0.0","0.06767812428927372,0.04535251859432874,0.028703217137795608,0.04296459945067294,0.04804008174233596,0.028345168803232255","2.678777100869198e-28,1.905844573144854e-29,1.3956523749347765e-51,1.2567737569694187e-58,0.35230574544717436,1.22853953606896e-41","0.1996575238963849,0.13272003825763157,0.06915278651311192,0.09777993451427426,0.5365465367744064,0.07304782490236399"
2391,"0.0,0.0,0.66507,0.0,0.0,0.0","0.0,0.0,0.6788767473455867,0.0,0.0,0.0","0.0,0.0,0.6704875645216966,0.0,0.0,0.0","0.05307361445217966,0.05901098476440541,0.04934486587002449,0.08141276017139704,0.29154147408404835,0.0835019038227885","1.4715631747578412e-27,1.124933001290438e-18,0.6166281284308921,6.98422603192419e-17,2.6764839908510187e-19,5.444950465961273e-27","0.15176327471994785,0.1578660017406838,0.7999978280009815,0.19797063654665312,0.7999530941839854,0.24189643157670357"
3903,"0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.3271134677242327,0.3977981793717472,0.0","0.0,0.0,0.0,0.0,0.0,0.0","0.26438288960552137,0.1181013496297309,0.2067994964130986,0.3353188217575911,0.38270752056466895,0.2164744810984882","1.80546102495044e-21,7.242253980410274e-23,7.437122312884602e-24,1.8074835908745074e-16,3.1727125756553565e-16,6.470385206798225e-17","0.6456861496227521,0.343007570696116,0.69029208710993,0.7978793131792721,0.7999561214615205,0.7555620520166088"
1164,"0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0","0.021323741164167416,0.04245176941168126,0.03297905610055099,0.03970333715638159,0.04404812528594137,0.015831742016146885","8.683806777308535e-23,1.4826388769572347e-29,4.221177112328059e-24,6.23256380473567e-22,1.0458444906083127e-20,3.851279104388191e-20","0.06225721775218395,0.10403146339242522,0.10228718114608602,0.04136013678273216,0.06800206579719566,0.040889197180397005"
2343,"0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0","0.03258388402527224,0.037277572838287844,0.17690527550476823,0.03141987393896318,0.18219384474927663,0.18162997893163452","3.305315604535607e-38,8.163247333560136e-32,8.46408836482377e-15,2.5737418167600507e-20,2.4059198515537664e-20,2.7773347740781233e-21","0.07427942886058317,0.07272999456365357,0.7440811678398807,0.0742704419895726,0.7901046565793944,0.7828939646905549"
1351,"0.0,0.49714,0.0,0.0,0.0,0.0","0.0,0.5197750819582004,0.0,0.0,0.0,0.0","0.0,0.4831776811262376,0.0,0.0,0.0,0.0","0.06210450481303453,0.08425465666190392,0.06954590078129826,0.24545185127516103,0.2393459706971108,0.054063905616221486","3.883331563146443e-27,0.4325992594676409,5.7411672994488396e-21,3.428669912129816e-27,2.9362634391226715e-21,1.0501699907518458e-28","0.17515267377122568,0.7643710285097836,0.18402862081670956,0.794874396680666,0.7769935683449163,0.1412142366090679"
