Index,True Label,Mean Estimate,Mode Estimate,Standard Deviation,HPDI Lower,HPDI Upper
489,"0.0,0.0,0.0,0.0,0.0,0.51551,0.0","0.03292131165074223,0.029910624828390867,0.04414701453019146,0.06664670139827114,0.09831478879866742,0.5110236357384625,0.1046099596088867","0.03686787678068568,0.006098556089232973,0.04006041046211249,0.019189210327968116,0.05601048409626393,0.5437460862975312,0.0600932477312093","0.022679429489859085,0.022180685278640845,0.03208484244678287,0.049307792182538675,0.062302678067114876,0.029317152589419762,0.07346281813690596","0.0002675520175926921,1.5615810831966004e-05,0.0001317234146917767,0.00026825813370564205,0.0007159679933721193,0.45539640974903717,0.0006776460799949277","0.0742300462556759,0.07009170030033703,0.11087703203131785,0.1665756000142846,0.21413136767762617,0.5499956631583625,0.24460748446339806"
583,"0.4375,0.0,0.0,0.0,0.0,0.0,0.0","0.39471617091381134,0.07272485915323587,0.028786748573466865,0.03635729750349196,0.035978388420668916,0.02676480170352254,0.035962534848054235","0.3897128447050917,0.008297951518840073,0.03878207541086964,0.0270237513657905,0.015745991275896452,0.025198213376760425,0.002398600754235185","0.024893408947144452,0.05390115520563655,0.020479879087983967,0.027391435298289017,0.027710902436215667,0.015348768766743228,0.02997905454551755","0.3424949202296679,3.108586270881141e-05,3.698480403198143e-05,0.0001891637830746167,7.953883964851455e-05,0.001979336939352919,7.822229130572359e-06","0.44132273786663306,0.18078469729034807,0.06668301578870947,0.09193438178752036,0.08925001567011909,0.049759634336302254,0.09916052040266639"
2078,"0.0,0.25377000000000005,0.0,0.0,0.0,0.0,0.0","0.03459703781585058,0.06350048503181911,0.1592747454306525,0.339984974945102,0.48624468101101637,0.19215919764489423,0.13357995560037642","0.04713626889556986,0.030000554351426623,0.14177357736123553,0.3903607926977243,0.5446683298585595,0.15915086557011165,0.02750546808548011","0.029117311841951172,0.060399059590270504,0.077013774893039,0.10075581389469931,0.08129788724889257,0.0967970120811886,0.17898440649988684","1.5041638401785792e-06,6.099052594176537e-05,0.02057039911199096,0.08448491692006488,0.2980626522390111,0.010757637662084263,8.06014558876809e-06","0.0888710954267157,0.1933203324419169,0.3136791026214351,0.5110399027091178,0.5498985835256175,0.3747991970780944,0.5171930184249237"
507,"0.0,0.0,0.0,0.0,0.23872,0.0,0.0","0.036612701285841626,0.05931848240331181,0.06670480192573126,0.15733825648008057,0.40664511132659364,0.10297917352502857,0.05115280216381724","0.046472762534513656,0.002721181288181702,0.04001475408933063,0.08154799892852163,0.41281666185206667,0.09428705384873626,0.02296296492386707","0.023709771559489844,0.04626774510325151,0.0539836176019291,0.09593766450779337,0.06127669490577731,0.0647432154412903,0.04341940161993915","0.00020268707831269902,6.687103698012017e-06,5.232612181912052e-06,0.0002194006578945036,0.28284226155888464,0.00027093378958469575,0.00010528613816432564","0.08250376332850656,0.14638925009173606,0.1754157548835738,0.32173757262508834,0.5296588491513595,0.22126823105314927,0.14229283579426233"
1111,"0.0,0.0,0.0,0.0,0.0,0.0,0.41913","0.027366664685091274,0.028619544619408986,0.03519959982581476,0.05862798454797513,0.4451863894517228,0.4806739289228266,0.44536101611014145","0.005366323901707871,0.018893265730878066,0.012129568129635344,0.02660492959964729,0.5245342919925751,0.5464115136342653,0.5337611118301733","0.019332419239585574,0.020788640154496888,0.029473168727052933,0.0593267961738994,0.06897656350059475,0.06549564822192502,0.10045000803435078","4.5855198999973456e-05,2.265812512930076e-05,5.895331863313454e-05,5.580328559965134e-05,0.3190509678489684,0.3497193350411467,0.2234500090112359","0.05649419644320466,0.06258661845992036,0.09510237213331232,0.1852253593591937,0.5499551503282029,0.5499487791552952,0.5496927235174626"
386,"0.0,0.0,0.0,0.07362999999999997,0.0,0.0,0.0","0.042753479734959514,0.22334689183086356,0.06717377770556639,0.2372806700963321,0.09212285282275806,0.201099424787838,0.05721160715715632","0.036729811992237585,0.24934091208476306,0.027633253561556003,0.26865652691545994,0.03057990985327285,0.18623232380597293,0.01934765266185656","0.03305669905713486,0.07804145048875734,0.05917005582878151,0.12125613827284026,0.08661192478662627,0.09231205747044634,0.05142350035973978","0.00024505853461057877,0.04984306332787257,0.00017764306915409684,0.005428320226298093,3.36385304251915e-05,0.04687661879034412,7.437662648996504e-05","0.10755465094800738,0.34959710697535706,0.18786916845778617,0.4333310759422347,0.28252425724418456,0.3978116236877925,0.1621218082602212"
949,"0.24275000000000002,0.0,0.0,0.0,0.0,0.0,0.0","0.24183284187488302,0.09145970426448,0.05722209312681515,0.04139102657917485,0.03683157354787685,0.03463112904444898,0.05167340396959647","0.2678357005175323,0.053823631051623085,0.027537081594074166,0.006329705699442083,0.011609404638701526,0.045912505737690096,0.020982307660720026","0.03753387473849232,0.05682832792422931,0.042345849543609156,0.03326745537345175,0.02871247287709609,0.024282717480560816,0.03551964994455971","0.16066151863517625,0.0017193015198227444,0.0001964006500863677,1.023400286593497e-05,2.193601945554336e-05,0.0001664808070182841,3.737777526780473e-06","0.30734246278205357,0.19100705414740712,0.13961498092623156,0.1105983829858743,0.09556672380057217,0.0806321570309688,0.11481331593330861"
1459,"0.0,0.0,0.0,0.0,0.0,0.17534,0.0","0.026379664757927468,0.037585809086540384,0.06249044633548729,0.1703627014889984,0.07764497530070509,0.29424945653133666,0.0791398598720535","0.040323512750680024,0.04634152391774973,0.043858430701738685,0.023131832142780636,0.022374498757311463,0.36417866216526806,0.05388950730869036","0.015429293755475608,0.028024945961006898,0.046160736569009354,0.12226415687969759,0.05492617522204883,0.09448331865062852,0.055530886945147746","0.002075484641678432,0.00028945072968045285,0.00041212030159968113,0.0001326489075685593,0.0005574226632867563,0.13535625356128878,0.00011261041343269188","0.04996392068569492,0.09458978541039666,0.1492763375384656,0.3580178168211883,0.18159865507791517,0.4597356708083287,0.1848172892541545"
1369,"0.0,0.0,0.0,0.22225,0.0,0.0,0.0","0.06055203800135064,0.12177894311845884,0.07168404404877482,0.351125734482668,0.0947908426803536,0.11683166081473906,0.04896359860401356","0.03627261478654381,0.13231436992456905,0.003120257323591887,0.37509124304737906,0.04173971261416787,0.056685447452093536,0.033523805675849186","0.04575219173601836,0.05799546585174158,0.05689888407857695,0.06159667769377343,0.06647186532015145,0.0767292086453334,0.043427411390039895","0.0001519559792330688,0.014971865822014504,8.468054068347999e-05,0.23576190151318316,0.0006967986594512464,0.0017758410281855793,0.0002062405799654593","0.15001092172511488,0.22342470213078872,0.1821237447988042,0.473907954999612,0.22023915316460646,0.2669817214919291,0.14244384499299373"
2943,"0.0,0.0,0.0,0.0,0.0,0.0,0.35579000000000005","0.03138649045559563,0.03860826354308105,0.04320802159170578,0.08993004394057434,0.058974917541035246,0.1418699190253413,0.40220328918443515","0.015528594130073202,0.0381473531810957,0.04612747866146248,0.030395289613988696,0.0236890935159254,0.10106590702947316,0.522671725436104","0.026639573872801275,0.0361109984243877,0.03465176564834474,0.062456839278236705,0.05404876980595117,0.09136840483000712,0.10947623857880676","0.00021330181011887985,0.00011327156927423074,3.3809562329737816e-05,5.67987874800145e-05,0.00020885144304253159,0.00031010443226687405,0.19974855939180727","0.07858067754054687,0.10100957822220187,0.11344548885706987,0.2050763958346965,0.16554989331216813,0.31639987726929897,0.5499323491915679"
1420,"0.0,0.0,0.16164,0.0,0.0,0.0,0.0","0.04782304075827331,0.13340306322568285,0.11893396483857362,0.1828057304929255,0.1003858878224698,0.09035888512414768,0.03651294560224531","0.03969265822934004,0.15018087564209737,0.08616057895871898,0.17281254169472468,0.029919515299372784,0.047087405188387235,0.03638763005495044","0.03219173639729702,0.05340353609321902,0.06979303537433357,0.05676263628531856,0.07001383274748275,0.05616531455049017,0.024910774282546767","0.00012740476520236972,0.02231448089295073,0.002450818440610108,0.06776284970718047,0.0006142417159631848,0.0024152343456623664,8.937562521517608e-05","0.10634352088022757,0.2213930400182766,0.24913597737436227,0.2897553556879038,0.22258543888744683,0.19810638253407697,0.08339844859588902"
2540,"0.36439999999999995,0.0,0.0,0.0,0.0,0.0,0.0","0.3386726680386054,0.16867244804709927,0.03261127079305147,0.031904373072743276,0.05224919439714356,0.026111342328362177,0.03855516814753801","0.3388056720812806,0.21231181390544654,0.04611779775964102,0.030648681988665917,0.05548039178770908,0.03352262353950729,0.0473380895143611","0.0204750219005758,0.05811152975192555,0.021903901751373054,0.022077589065858837,0.03341462713303642,0.01453128770266635,0.02699076997725254","0.29949849416956276,0.04784885668863305,1.197695196334889e-05,0.0004444621816343747,0.00030502845344179116,0.0023540087673367483,8.581435426620394e-05","0.3791282299625514,0.2633897560474893,0.0742282031860147,0.07354110950758787,0.11180164313496097,0.04964131380847551,0.0916645638281045"
835,"0.0,0.0,0.0,0.0,0.0,0.0,0.35624999999999996","0.11247996397369225,0.3310755955292224,0.07658551164397263,0.08328790392629098,0.03954157434898726,0.04344832128181745,0.32435938495903904","0.11856289558241523,0.35130636760317163,0.038380757863444054,0.03770048893029196,0.026894243565987103,0.016015308693396534,0.31019602381351086","0.0616080513918834,0.08864592712963426,0.07262512439340592,0.07320811545470952,0.03339526695877056,0.03564952423190777,0.09733707850076583","0.00011060999886864474,0.12769834718646977,3.856419978232972e-05,0.00013506349010675636,9.07698226828095e-05,0.00010072074129252335,0.15810843142542036","0.21765041830389678,0.49418531602868415,0.20594145169568753,0.220486878980378,0.10425414352236967,0.11496323239465717,0.5277301401864217"
967,"0.0,0.0,0.0,0.0,0.0,0.33999,0.0","0.04147725703310241,0.14432839041852544,0.07412088968596511,0.1402233958490538,0.1486283151761446,0.38169612279439463,0.18212783267464502","0.0207771565470903,0.03414544645028766,0.035280034184802946,0.04812342357392787,0.03630558878679489,0.36931301002807654,0.17279880152741617","0.030486552220451567,0.11028126649329821,0.06084190045821819,0.09508300957670807,0.11661750235751665,0.07094413278692283,0.10762909799303298","1.1027781514104726e-05,0.0006409540275059199,7.464873791978006e-05,0.0018997878188522985,0.0002183949504557357,0.24857445540814035,0.0017870027306282179","0.09913642929877917,0.35716990875832383,0.19644859801954892,0.31340837476112016,0.37316659860561874,0.5268837113094471,0.36579802891292484"
