Index,True Label,Mean Estimate,Mode Estimate,Standard Deviation,HPDI Lower,HPDI Upper
2017,"0.26380000000000003,0.0,0.0,0.0,0.0,0.0,0.0","0.2440722487982779,0.05205890527897167,0.0,0.0,0.0,0.0,0.0","0.24359075311118014,0.0,0.0,0.0,0.0,0.0,0.0","0.011550005978257059,0.031771724537340285,0.02420696835871061,0.02126718661231921,0.015919375098716063,0.015322996548802221,0.013354700560155412","0.22159127838955658,0.0002556501806732174,0.000279996559456551,8.098649037851514e-05,0.0006936318256428182,0.0011452083009602736,0.004196130940684301","0.26538940721672194,0.10871153481594562,0.08357827479678515,0.0725235233371196,0.04995051989095018,0.049522221676237065,0.049868148146483035"
1194,"0.0,0.0,0.54122,0.0,0.0,0.0,0.0","0.0,0.0,0.4676691073187707,0.10840838607033781,0.0,0.0,0.0","0.0,0.0,0.47039045115082295,0.1045852597051137,0.0,0.0,0.0","0.020441624424441147,0.0189137010355827,0.03772706912275151,0.04989966917022028,0.02861911001978023,0.028017121103391617,0.03321702268511218","0.000183076048396835,0.00014055906162690929,0.4049607048001706,0.017433263209311493,5.754852251705027e-05,0.001150436717556393,3.9979445388025585e-06","0.06990938741284967,0.0654549741975343,0.5435991746372077,0.19708896371174595,0.0983002127564687,0.09912812482799802,0.10871284418717286"
16,"0.21356000000000003,0.0,0.0,0.0,0.0,0.0,0.0","0.2088735198573575,0.0,0.0,0.0,0.0,0.0,0.0","0.20793487443453385,0.0,0.0,0.0,0.0,0.0,0.0","0.012651046211944968,0.028901314169766316,0.014825740449069537,0.016240565801372554,0.023296749278403237,0.01722324428315599,0.013819446721762945","0.1839472461324222,4.753201041538205e-05,0.0019984751823727605,4.163004426945332e-05,0.0009373944121854577,0.00055718517645743,0.0034634054955099084","0.23303899423270846,0.09455637791474938,0.04993560882911445,0.04989765134438599,0.08311581124618293,0.060435829024166124,0.049632788268662256"
2137,"0.0,0.23247,0.0,0.0,0.0,0.0,0.0","0.0,0.21521703565571548,0.0,0.0,0.0,0.0,0.0","0.0,0.20969307663523526,0.0,0.0,0.0,0.0,0.0","0.025903218323242192,0.023532033980589718,0.02822249118709576,0.023102456100247637,0.024470847656293877,0.02717265634433391,0.015039188942059925","0.0003845691290352121,0.1691669327526825,0.0005670837584888574,0.00020835193869084853,0.000167925829845264,8.987087033162135e-05,0.0005407012271220119","0.08845316106061968,0.2623414706207151,0.09868950989862625,0.08042792412324848,0.08244383639363886,0.09453159691420447,0.047729514260416814"
1356,"0.0,0.0,0.0,0.11529,0.0,0.0,0.0","0.0,0.051746004676299605,0.1311744884952068,0.08650958336050849,0.3826841193481174,0.07721898976933728,0.37317068615069954","0.0,0.0,0.15219671240780247,0.07732413065152567,0.38595126586794826,0.0,0.4018387969210586","0.031651524753929204,0.0419398117279912,0.06295498212933633,0.055462229138223657,0.08350786642835657,0.05989350222812346,0.07590403781552486","8.872345031695088e-05,7.277225522367451e-05,0.008822708398829943,0.000829051575236357,0.22930970468771847,0.0002982005532949374,0.22736778915692477","0.10700535531870835,0.13638268107975937,0.23552500598836937,0.19086257478120336,0.5322569907642597,0.1945235007487828,0.5051447441244925"
425,"0.0,0.0,0.0,0.39871999999999996,0.0,0.0,0.0","0.0,0.0,0.055479167200665064,0.39456549113114164,0.0,0.0,0.0","0.0,0.0,0.0,0.38249964811443393,0.0,0.0,0.0","0.031878241954249896,0.021740620793306555,0.03753039587643562,0.03320335937104708,0.034273378195104176,0.03384706957212212,0.022006818090348792","0.0003642581933786916,0.00026328971420289094,2.166433110853219e-05,0.327330913949784,9.859707509917045e-06,0.0002295204852685194,8.539692987478365e-05","0.1071595093340838,0.07786991066291754,0.12964630372256564,0.45366173980585384,0.11523029987833497,0.11679220567684882,0.07780419154798494"
1975,"0.0,0.0,0.0,0.0,0.0,0.22188999999999998,0.0","0.0,0.08004476518834355,0.07245554750859841,0.15056713678369227,0.14248425197110698,0.2601933371677448,0.08415859055306159","0.0,0.0,0.0,0.0,0.0,0.18605674294862581,0.0","0.02245542868374913,0.04959197249684551,0.06675632375899794,0.09876239566120439,0.1001156368906622,0.09912180091701964,0.06504707069530569","0.0008212576380244536,0.0015554174481655502,3.527315282694735e-05,0.00817817191525768,0.004125860297131367,0.07253705136550354,0.002923996433254707","0.07671917171036488,0.17088232074269502,0.2223788405472952,0.3342356591399033,0.3365294202249547,0.4353973407926292,0.21850821506835755"
3041,"0.0,0.0,0.0,0.15038,0.0,0.0,0.0","0.051260219530504386,0.09742962222251106,0.09633266608787,0.23568136324820008,0.16243705965380456,0.15781486205166653,0.0","0.0,0.11424241793071516,0.0,0.19659931374801926,0.0,0.1256599603536012,0.0","0.03358508857613845,0.052558377120854566,0.074608827740921,0.07341479511818255,0.09506076680557571,0.07102180888909415,0.026787023060040775","0.0008731648772361934,0.005475406967458201,0.00046468680304776074,0.08426599248008564,0.0014599772181085652,0.03689475145544825,0.0006781814965983488","0.11966266612514893,0.18461611679509973,0.24471623532219258,0.36359171673209245,0.30885861138836795,0.3027438283739053,0.08895534949699344"
408,"0.0,0.0,0.0,0.0,0.52767,0.0,0.0","0.0,0.0,0.0,0.07388743477209847,0.536517151185048,0.15601814026038283,0.0","0.0,0.0,0.0,0.0,0.5491294728161498,0.08414811560722159,0.0","0.015284284298080037,0.01684997209301341,0.029271468132596453,0.050613414896516405,0.011620555780096438,0.07995937434424978,0.014659639009620149","0.0020879244652844573,7.87162877756876e-05,0.000308833536327421,9.732521923788179e-05,0.512279303598682,0.0022217080095643413,0.002269667596446659","0.04997002067120299,0.04991864079944824,0.09768458535843658,0.17113769050465338,0.5499249996473222,0.29080391059597327,0.04931899074196935"
1977,"0.0,0.45962000000000003,0.0,0.0,0.0,0.0,0.0","0.0,0.42758585389167375,0.0,0.0,0.0,0.0,0.0","0.0,0.4292474052101011,0.0,0.0,0.0,0.0,0.0","0.02388579652465269,0.01727185497716521,0.0313622403673562,0.019814856909329902,0.033804460645294694,0.02317941765268247,0.026505817912080072","1.5873581900036022e-05,0.3937901349002258,3.017499577465111e-05,0.0004484096209976268,0.00016270600394592164,0.00026217532872827937,5.094529809008228e-05","0.08313364223263245,0.4579708767592281,0.1079737118745251,0.06241644501539812,0.11243815430937351,0.0811611023517846,0.08516779917322126"
2073,"0.0,0.0,0.0,0.0,0.18874999999999997,0.0,0.0","0.0,0.07381142938277713,0.07107386827510823,0.09943196592394933,0.37344153447398587,0.06999278942564002,0.05842139943638856","0.0,0.0,0.0,0.07126076455623293,0.3875771640164502,0.0,0.0","0.027028221701877356,0.044435661770526894,0.05584304569994148,0.05811723921932977,0.05630703754502282,0.05312991491504921,0.04692060072700782","8.655649289395252e-05,0.0003003354924249832,0.0003193660346723911,0.004317824102852517,0.26129289352737856,0.0006333380633161544,0.000406769623534589","0.0916092488188628,0.15149209096505384,0.18167539323088897,0.2144208701623525,0.48162738190128224,0.17370393374679613,0.15673634119031346"
300,"0.0,0.0,0.0,0.0,0.0,0.0,0.43369","0.0,0.16733305339261453,0.06608079269489243,0.08179306465504665,0.0,0.06138107501415024,0.3373543718756045","0.0,0.0,0.0,0.0,0.0,0.0,0.32913852020658396","0.04246712385898475,0.1061949293012312,0.061825301769156904,0.05611966807803883,0.03648840295429588,0.05513777673808868,0.11777219460304703","0.00019528584022338169,0.0006833379468558164,0.0004885965332761392,0.000558390666859876,0.000187508800062931,0.0002999854468123055,0.1360776270901464","0.1338391489183571,0.32754746671326496,0.1940555184293972,0.1879304731061811,0.11887055023799657,0.1800378097714266,0.5382091064733486"
621,"0.0,0.0,0.0,0.0,0.22801,0.0,0.0","0.0,0.05466087917521811,0.0,0.07016383647191986,0.10239501657606352,0.10538707784075657,0.17240703649116665","0.0,0.0,0.0,0.0,0.09618232106307241,0.0,0.08190283037032914","0.01500663464825942,0.03586340410832875,0.02518721194356074,0.050525047304592334,0.05474734338430508,0.08823180618660582,0.11601430224865768","0.002545991224395553,0.0007757632411404565,2.0209852063156667e-05,0.00026303879746262463,0.0015392753851042615,0.000555212913021474,0.00034701699240206847","0.04993656964610915,0.11953946758806276,0.08782820325574826,0.16417455747990495,0.20236993117485777,0.27257616164567855,0.42109561844273374"
1342,"0.0,0.45694,0.0,0.0,0.0,0.0,0.0","0.0,0.4191557831221114,0.0,0.0,0.0,0.0,0.0","0.0,0.4294336154531556,0.0,0.0,0.0,0.0,0.0","0.026633408657023773,0.016995890639233492,0.03539298030388131,0.018118792989528013,0.03317752523928706,0.02326977664504973,0.027624211259846286","8.528482186703675e-05,0.3844567558760093,8.92228411420333e-05,0.00015838265486377664,0.0002715422188993593,0.0007201300891234187,0.00018547572583865087","0.09141708766560909,0.44963328242039513,0.11876612421528752,0.05975963252428053,0.11103528548867328,0.08168888171879429,0.09185776756302866"
2584,"0.0,0.0,0.20105,0.0,0.0,0.0,0.0","0.08216316887233568,0.06431412771518907,0.10953903377465331,0.18677664112169737,0.14309735981758304,0.10363245979919643,0.0","0.0,0.0850686303373693,0.0,0.17697263357984566,0.07583124234265702,0.0,0.0","0.08763025223553943,0.03233806537515207,0.06145128814122098,0.050255217154826115,0.10780684739341662,0.1170587016929515,0.03094781946028828","0.00019557507097573085,0.0009285595294477463,0.012544224369485048,0.09686911039165974,0.0007475147873026784,0.0017726617546482964,4.3770312827226406e-05","0.236956165887122,0.11446185171862781,0.22517084807640383,0.2989455783310294,0.34493190696430964,0.31368664377937683,0.10731632997649056"
284,"0.32406,0.0,0.0,0.0,0.0,0.0,0.0","0.31262005151801875,0.0,0.0,0.0,0.0,0.0,0.0","0.3192582445230567,0.0,0.0,0.0,0.0,0.0,0.0","0.019819722717728812,0.03769348538974752,0.026367493595272417,0.023043470215409544,0.01746297143825854,0.01633235481498759,0.028780290420056916","0.26663779720627245,6.551805982362083e-05,1.028360776862208e-05,3.634838842327389e-05,1.3546479561530983e-05,0.00024726208846442187,0.0002433093783349466","0.34667144344374085,0.1301321047079566,0.08909842159128635,0.0764805499632184,0.05511495253421451,0.05526193482218271,0.09821286751082671"
2451,"0.09192,0.0,0.0,0.0,0.0,0.0,0.0","0.0985225680831278,0.07487125541352123,0.0,0.0,0.0,0.0,0.0","0.08349631629663201,0.055881626707945276,0.0,0.0,0.050505038268192304,0.0,0.0","0.017969907301888088,0.026116840274303603,0.014418130743400393,0.015555980736568357,0.028038494896459074,0.013347272418033063,0.013435533619604945","0.06814117550485349,0.03126901899597518,0.0003149972959453272,0.0016434101235835814,0.001393644673981719,0.004969976698317491,0.004449728272801206","0.12891055467673324,0.13109708121956762,0.04699493366165597,0.04993642773571588,0.10187713729905525,0.04992970560547154,0.04994661058505172"
2900,"0.0,0.0,0.0,0.0,0.0,0.0,0.07643","0.0,0.1585025387680745,0.08004154646512747,0.07215211766939597,0.05053413706252695,0.05299223753737291,0.3278845186282918","0.0,0.0,0.0,0.0,0.0,0.0,0.24508128769694754","0.04208053008221404,0.10241208441230241,0.07310923163655429,0.056766584040913795,0.05138596742275318,0.0423032020215189,0.12735811227323093","9.464993146412628e-05,0.00544894774819915,0.00025330683516501025,0.000894952330899335,0.00022854546298308042,0.0005357955997596208,0.12905049746997624","0.13846808467210986,0.3292226261673562,0.23837624059997575,0.16596281165727209,0.17006855937545276,0.1453017807192722,0.5485821779013187"
2067,"0.0,0.0,0.50159,0.0,0.0,0.0,0.0","0.0,0.0,0.4478670037216486,0.10027788193791304,0.0,0.0,0.0","0.0,0.0,0.4396655628306599,0.11986341853776034,0.0,0.0,0.0","0.02166712417409518,0.01671970488322596,0.03511456212512178,0.049941569592346184,0.029976542753803476,0.023398711514589218,0.02899155851072117","0.0008524069378675504,0.0004227972821442988,0.3881505853598034,0.003771770453731446,0.00010191398885026319,0.0004228965990094463,0.0005343830616640127","0.07524789822549222,0.05855804180082111,0.5198480762577354,0.17835653450868558,0.1019155634258981,0.08320930015267024,0.10082918736605759"
2359,"0.0,0.0,0.26137,0.0,0.0,0.0,0.0","0.0,0.11396875339550193,0.17660165829938862,0.1587141442868089,0.1158391194961709,0.0,0.0","0.0,0.1362059445463631,0.14944898765312914,0.1900312820344388,0.13949185489620447,0.0,0.0","0.022229790879171152,0.03082377023199836,0.05170125914347734,0.04113445098684046,0.04893646700932543,0.021636808645317064,0.014827183778522416","0.0003484237439512934,0.05615022129094312,0.08122957704185745,0.07808200769251518,0.016548079509625085,3.6985439825268625e-05,0.0026048620622376346","0.07723858174705535,0.16815220555394186,0.26795226347537054,0.2245980352598686,0.20208790459520998,0.07041936021634347,0.04992206169460899"
2386,"0.0,0.32625000000000004,0.0,0.0,0.0,0.0,0.0","0.059911622384951894,0.2925762182341948,0.0,0.0,0.061019871892965045,0.0,0.0","0.0,0.30071067315348804,0.0,0.0,0.05111779450555276,0.0,0.0","0.03109352704675699,0.01593060461690669,0.029380799343088092,0.020758132959519726,0.03275449331948151,0.016999596616952543,0.01459423227972501","0.004568188367607163,0.26121567329153084,5.176238499606585e-05,9.858158145434524e-06,0.005027030684171411,0.0005324233401451,0.00014372082163662312","0.11200444380819417,0.3217207029111204,0.09687716809715682,0.06983967246504855,0.11861142643558024,0.05494293086347486,0.04703251197538272"
1620,"0.0,0.0,0.28703999999999996,0.0,0.0,0.0,0.0","0.058384848435422326,0.08458002373407901,0.2193390414901104,0.10244352783266038,0.06639860912908238,0.0,0.0","0.0,0.08137777488289946,0.23152626663755105,0.11621306615234814,0.0,0.0,0.0","0.030724671957056707,0.030667132968017864,0.05463254070093255,0.048261923130688514,0.040685397754606584,0.026451547582030582,0.014572773487584435","0.0010797336854026073,0.024337127865183415,0.10225743948540565,0.005616905255631876,0.0006995033569842843,3.0394868525542726e-05,0.0036823874625582856","0.11228784097631456,0.14252221078579858,0.2996337185811273,0.17865187860987916,0.1419132076563544,0.08744678585154443,0.05001067973044105"
714,"0.0,0.0,0.0,0.0,0.41351000000000004,0.0,0.0","0.0,0.0,0.0,0.08312793255925123,0.503890111270887,0.09420512202190975,0.0","0.0,0.0,0.0,0.0,0.5184827724329351,0.0,0.0","0.017230113760708977,0.02235354515696727,0.0321020983743131,0.05847961983865723,0.03120827977512846,0.06645173195175554,0.022775356964715037","0.0002427269257804435,0.00035518876567298404,1.280268256031253e-05,0.00021130670335455217,0.4426774867130927,0.0008537721898647567,6.0318648345311636e-05","0.053860049178038334,0.07613200988595627,0.10718519911006112,0.20206357800274655,0.5498610286983528,0.22331254379414583,0.0765321565448393"
1505,"0.0,0.0,0.0,0.0,0.0,0.44457,0.0","0.0,0.0,0.053505618336649914,0.0712189220989832,0.055905140264920286,0.4738197700280078,0.0697906105694847","0.0,0.0,0.0,0.0,0.0,0.4803139186462468,0.0","0.015824899276382115,0.018039972305267063,0.03897807713344411,0.054611365565633556,0.04288666733123846,0.03373696499268186,0.05263750871557158","2.712518200136327e-05,4.4395245775197236e-05,0.00010681207248435082,0.00011911286299104376,0.00020972816704879362,0.408016691176573,0.0006006000852402963","0.04928247073381051,0.05486656789671965,0.12966050779595575,0.1818993137610819,0.14350306719781486,0.5353265530021507,0.1720053194494056"
1165,"0.0,0.0,0.44299,0.0,0.0,0.0,0.0","0.0,0.0,0.3999160115115935,0.0795412236617227,0.0,0.0,0.0","0.0,0.0,0.39798922025431194,0.06778568630502213,0.0,0.0,0.0","0.02249210613779971,0.017465174750332955,0.025893173423800257,0.03569424987673162,0.026575436647331484,0.019876166312665672,0.02163546120172525","0.001337832241475221,0.0003055982299050609,0.3508614887850035,0.01455675538047948,3.8317814675981367e-08,9.139355199449887e-05,5.47362707621481e-06","0.07711656003759848,0.055595087791264285,0.4524698197133217,0.15428102959521686,0.08801104633530517,0.06595509980222149,0.0715002682999259"
2409,"0.0,0.0,0.0,0.24694,0.0,0.0,0.0","0.06310895132949275,0.09861567434892374,0.07605840509799819,0.35472122508435994,0.06449284636637775,0.11999293229838293,0.05807669741985515","0.0,0.06529733487239364,0.0,0.34622351680088426,0.0,0.0,0.0","0.053200985870273464,0.05398696967041444,0.05876289923083044,0.07211913063814793,0.05321207113770535,0.07758657301212475,0.04594951657784493","0.0012017808165681752,0.0112267687258414,0.0008063653934999606,0.2198825344149276,0.0008330596102677523,0.005534649761317203,0.0004946528006667542","0.17598862291318013,0.20145111903618332,0.19439297601070668,0.4867410608743719,0.18202968198796304,0.26243238686538284,0.15482294668260654"
2979,"0.07751999999999998,0.0,0.0,0.0,0.0,0.0,0.0","0.08425903014300305,0.08421945482256206,0.0,0.0,0.05327607790100868,0.0,0.0","0.06951689712344394,0.06593167813356644,0.0,0.0,0.05451243181899039,0.0,0.0","0.015155034159648752,0.02644482158964002,0.014948206014284787,0.02021475240078745,0.027943748760518874,0.01401147170237549,0.014126282747031456","0.059151625205819285,0.05000379496676444,0.0028912856294793766,4.339742166167478e-05,0.011661294599830738,0.0014065987803429066,0.0036544976420305997","0.11253759719597005,0.13761278284076103,0.04987354978525306,0.06631130719637617,0.10933099043797778,0.04817753424225547,0.04999096602920202"
725,"0.0,0.0,0.0,0.0,0.0,0.0,0.14595000000000002","0.0,0.0,0.14286129526782534,0.41366476141837905,0.0,0.09386713889590184,0.502851720111952","0.0,0.0,0.1892333731839102,0.4053055043672589,0.0,0.08734355878951863,0.5106583413039129","0.014937818311749278,0.02937354768090633,0.07101917196134615,0.07489419876939862,0.028996180210816642,0.054778730676233144,0.03373919652229362","4.775693576219268e-05,0.00019752963952552065,0.0022770613411151027,0.300552757741034,5.590471946812416e-06,0.0027235240475355217,0.4381888883582979","0.047169405312016334,0.10054522805501624,0.25199853469794736,0.5424998818085038,0.0924551663723665,0.19171710230475283,0.5496439170319254"
95,"0.0,0.50445,0.0,0.0,0.0,0.0,0.0","0.0,0.49174740737338396,0.0,0.0,0.0,0.0,0.0","0.0,0.49796677659339544,0.0,0.0,0.0,0.0,0.0","0.015552793369863682,0.013134357848285736,0.027006522126552475,0.015645906938240254,0.04283030282880949,0.014433326965997008,0.018820611027041825","0.0026641893436283185,0.46428205976220294,4.216116446450919e-05,0.0012038870091360986,0.0006023234304199122,0.002346779267870905,9.993071034864553e-05","0.0499943944191454,0.5165228316679299,0.08650954874714424,0.04880194082478192,0.13992047614506994,0.049342469195977165,0.04989225856334071"
240,"0.28920999999999997,0.0,0.0,0.0,0.0,0.0,0.0","0.25513818043528136,0.0880853258452251,0.05484162361461697,0.0,0.0,0.0,0.050295318567978524","0.2564366581286052,0.0,0.0,0.0,0.0,0.0,0.05703045046789786","0.025815753039175892,0.05208931842929796,0.03670354555864296,0.026626343758063838,0.019127350640452557,0.020586370651520774,0.029654801878394435","0.20201110168379527,0.001233197406630099,0.0007958527784863343,0.00011776154302850339,0.0001818020666306596,0.0001632573175226424,0.0025536076387128875","0.30190081228856963,0.17455782786094462,0.12385609971921326,0.08702727076530037,0.059764810879226166,0.07199290873901973,0.10359793138112962"
3122,"0.43100000000000005,0.0,0.0,0.0,0.0,0.0,0.0","0.40082647366251595,0.0638258289875102,0.0,0.0,0.0,0.0,0.0","0.40273674714764585,0.0,0.0,0.0,0.0,0.0,0.0","0.02081299836819451,0.045253830579963815,0.020733777720919774,0.031181868366651783,0.025379724321340672,0.014701280585549922,0.028405885909969352","0.36028177656755384,4.417179607116255e-06,0.0001203155383412569,1.8916895014673004e-05,0.00045672519146865213,0.002301554304100725,0.00022947312087631734","0.44051715751622295,0.14967481489595458,0.07321951761087875,0.1049641271542235,0.08705333507327187,0.04982474337906247,0.0935061543018344"
